casualty_severity,sex_of_casualty,age_of_casualty,age_band_of_casualty,pedestrian_location,pedestrian_movement,obs_date,light_conditions,weather_conditions,urban_or_rural_area,road_surface_conditions,special_conditions_at_site,age_of_driver,sex_of_driver,vehicle_type
Slight,Male,88,Over 75,"In carriageway, crossing elsewhere",From drivers offside,2023-04-15T12:06:00Z,Daylight,Fine no high winds,Urban,Dry,None,35,Male,9
Serious,Female,86,Over 75,"In carriageway, crossing elsewhere",From drivers offside,2023-04-15T12:06:00Z,Daylight,Fine no high winds,Urban,Dry,None,35,Male,9
Slight,Male,21,21 - 25,On pedestrian crossing facility,From drivers nearside,2023-05-03T15:10:00Z,Daylight,Fine no high winds,Urban,Dry,None,43,Not known,9
Slight,Female,3,0 - 5,On footway or verge,Unknown or other,2023-05-22T15:20:00Z,Daylight,Fine no high winds,Urban,Dry,None,74,Male,9
Slight,Female,3,0 - 5,On footway or verge,Unknown or other,2023-05-22T15:20:00Z,Daylight,Fine no high winds,Urban,Dry,None,19,Male,9
Slight,Female,3,0 - 5,On footway or verge,Unknown or other,2023-05-22T15:20:00Z,Daylight,Fine no high winds,Urban,Dry,None,45,Male,9
Slight,Female,25,21 - 25,On footway or verge,Unknown or other,2023-05-22T15:20:00Z,Daylight,Fine no high winds,Urban,Dry,None,74,Male,9
Slight,Female,25,21 - 25,On footway or verge,Unknown or other,2023-05-22T15:20:00Z,Daylight,Fine no high winds,Urban,Dry,None,19,Male,9
Slight,Female,25,21 - 25,On footway or verge,Unknown or other,2023-05-22T15:20:00Z,Daylight,Fine no high winds,Urban,Dry,None,45,Male,9
Fatal,Female,70,66 - 75,"In carriageway, crossing elsewhere",From drivers offside,2023-02-15T18:44:00Z,Darkness - lights unlit,Fine no high winds,Rural,Wet or damp,None,41,Female,9
Serious,Male,13,11 - 15,"In carriageway, crossing elsewhere",From drivers offside,2023-10-04T16:45:00Z,Daylight,Fine no high winds,Urban,Dry,None,49,Male,9
Slight,Male,60,56 - 65,On footway or verge,Unknown or other,2023-06-12T12:20:00Z,Daylight,Fine no high winds,Urban,Dry,None,41,Female,9
Serious,Female,25,21 - 25,"In carriageway, not crossing","In carriageway, stationary",2023-12-16T16:02:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,23,Male,9
Serious,Female,53,46 - 55,"In carriageway, crossing elsewhere",From drivers offside,2023-05-30T20:48:00Z,Daylight,Fine no high winds,Urban,Dry,None,41,Male,9
Serious,Male,14,11 - 15,"In carriageway, crossing elsewhere",From drivers offside,2023-09-29T14:00:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Male,9
Fatal,Male,28,26 - 35,On footway or verge,Unknown or other,2023-07-19T01:00:00Z,Darkness - no lighting,Fine no high winds,Urban,Dry,None,35,Male,8
Slight,Male,35,26 - 35,"In carriageway, not crossing",Unknown or other,2023-04-07T10:00:00Z,Daylight,Fine no high winds,Urban,Dry,None,66,Male,9
Fatal,Male,75,66 - 75,"In carriageway, crossing elsewhere",From drivers nearside,2023-02-01T08:50:00Z,Daylight,Fine no high winds,Rural,Wet or damp,None,36,Female,9
Fatal,Male,79,Over 75,Unknown or other,From drivers nearside,2023-03-06T12:05:00Z,Daylight,Fine no high winds,Urban,Dry,None,52,Male,11
Slight,Female,38,36 - 45,"In carriageway, not crossing","In carriageway, stationary",2023-10-01T13:58:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,98
Fatal,Male,14,11 - 15,On pedestrian crossing facility,From drivers nearside,2023-02-02T18:04:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,23,Female,9
Serious,Female,81,Over 75,"In carriageway, crossing elsewhere",From drivers offside,2023-08-03T09:39:00Z,Daylight,Fine no high winds,Urban,Dry,None,87,Male,9
Slight,Male,12,11 - 15,Unknown or other,Unknown or other,2023-03-17T15:45:00Z,Daylight,Fine no high winds,Urban,Wet or damp,None,54,Female,9
Slight,Female,35,26 - 35,On pedestrian crossing facility,Unknown or other,2023-04-05T16:03:00Z,Daylight,Fine no high winds,Urban,Dry,None,50,Female,9
Serious,Male,25,21 - 25,On footway or verge,Unknown or other,2023-09-08T08:50:00Z,Daylight,Fine no high winds,Urban,Dry,None,44,Male,9
Serious,Male,25,21 - 25,On footway or verge,Unknown or other,2023-09-08T08:50:00Z,Daylight,Fine no high winds,Urban,Dry,None,44,Male,19
Serious,Male,25,21 - 25,On footway or verge,Unknown or other,2023-09-08T08:50:00Z,Daylight,Fine no high winds,Urban,Dry,None,25,Male,9
Serious,Male,25,21 - 25,On footway or verge,Unknown or other,2023-09-08T08:50:00Z,Daylight,Fine no high winds,Urban,Dry,None,39,Male,19
Slight,Female,20,16 - 20,"In carriageway, crossing elsewhere",From drivers nearside,2023-07-10T12:30:00Z,Daylight,Raining no high winds,Rural,Wet or damp,None,-1,Not known,9
Slight,Male,70,66 - 75,On footway or verge,Unknown or other,2023-10-07T15:15:00Z,Daylight,Unknown,Urban,Dry,None,-1,Not known,9
Slight,Female,12,11 - 15,On footway or verge,Unknown or other,2023-03-31T14:44:00Z,Daylight,Fine no high winds,Urban,Dry,None,42,Female,9
Slight,Female,12,11 - 15,On footway or verge,Unknown or other,2023-03-31T14:44:00Z,Daylight,Fine no high winds,Urban,Dry,None,51,Female,19
Slight,Female,12,11 - 15,On footway or verge,Unknown or other,2023-03-31T14:44:00Z,Daylight,Fine no high winds,Urban,Dry,None,20,Female,9
Serious,Male,13,11 - 15,On footway or verge,Unknown or other,2023-03-31T14:44:00Z,Daylight,Fine no high winds,Urban,Dry,None,42,Female,9
