casualty_severity,sex_of_casualty,age_of_casualty,age_band_of_casualty,pedestrian_location,pedestrian_movement,obs_date,light_conditions,weather_conditions,urban_or_rural_area,road_surface_conditions,special_conditions_at_site,age_of_driver,sex_of_driver,vehicle_type
Slight,Male,2,0 - 5,On pedestrian crossing facility,From drivers offside,2023-01-12T17:44:00Z,Darkness - lights lit,Other,Urban,Wet or damp,None,39,Male,9
Serious,Male,8,6 - 10,"In carriageway, crossing elsewhere",From drivers nearside,2023-09-26T08:40:00Z,Daylight,Fine no high winds,Urban,Wet or damp,None,36,Female,9
Slight,Female,87,Over 75,"In carriageway, crossing elsewhere",From nearside masked by vehicle,2023-10-24T07:12:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,42,Male,3
Serious,Female,-1,NA,On pedestrian crossing facility,Unknown or other,2023-06-10T09:13:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,1
Serious,Male,26,26 - 35,On pedestrian crossing facility,From drivers nearside,2023-03-10T22:52:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,99,Not known,8
Serious,Female,28,26 - 35,On pedestrian crossing facility,From drivers nearside,2023-11-15T18:49:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,55,Male,9
Slight,Male,8,6 - 10,"In carriageway, crossing elsewhere",From offside masked by vehicle,2023-10-26T18:30:00Z,Darkness - lights lit,Other,Urban,Wet or damp,None,32,Male,9
Slight,Female,75,66 - 75,On pedestrian crossing facility,From drivers nearside,2023-03-18T10:14:00Z,Daylight,Fine no high winds,Urban,Dry,None,37,Male,9
Serious,Female,72,66 - 75,On pedestrian crossing facility,From drivers nearside,2023-03-18T10:14:00Z,Daylight,Fine no high winds,Urban,Dry,None,37,Male,9
Slight,Female,26,26 - 35,"In carriageway, crossing elsewhere",From drivers nearside,2023-04-05T13:16:00Z,Daylight,Raining no high winds,Urban,Wet or damp,None,34,Male,9
Slight,Male,24,21 - 25,Within 50m. of crossing,From drivers offside,2023-07-28T15:05:00Z,Daylight,Fine no high winds,Urban,Dry,None,45,Male,3
Slight,Female,25,21 - 25,Within 50m. of crossing,From offside masked by vehicle,2023-07-28T15:05:00Z,Daylight,Fine no high winds,Urban,Dry,None,45,Male,3
Fatal,Male,79,Over 75,"In carriageway, crossing elsewhere",From drivers offside,2023-02-12T18:20:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,22,Male,4
Fatal,Male,51,46 - 55,"In carriageway, crossing elsewhere",Unknown or other,2023-09-12T21:09:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,31,Female,9
Fatal,Male,12,11 - 15,Unknown or other,Unknown or other,2023-08-05T21:46:00Z,Darkness - lights lit,Fine no high winds,Rural,Dry,None,-1,Not known,9
Fatal,Male,57,56 - 65,"In carriageway, crossing elsewhere",From drivers nearside,2023-05-27T20:58:00Z,Daylight,Fine no high winds,Urban,Dry,None,26,Male,9
Slight,Female,21,21 - 25,On pedestrian crossing facility,From drivers nearside,2023-06-28T12:52:00Z,Daylight,Fine no high winds,Urban,Dry,None,67,Not known,9
Fatal,Male,23,21 - 25,"In carriageway, crossing elsewhere",From drivers nearside,2023-02-08T23:10:00Z,Darkness - no lighting,Fine no high winds,Rural,Dry,None,27,Male,21
Serious,Female,42,36 - 45,On pedestrian crossing facility,From drivers nearside,2023-05-14T14:00:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,4
Slight,Male,11,11 - 15,On pedestrian crossing facility,From drivers nearside,2023-05-14T14:00:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,4
Fatal,Male,46,46 - 55,"In carriageway, crossing elsewhere",Unknown or other,2023-04-29T22:55:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,52,Male,9
Slight,Female,39,36 - 45,On pedestrian crossing facility,From drivers nearside,2023-10-14T13:15:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,8
Serious,Male,4,0 - 5,"In carriageway, crossing elsewhere",From drivers offside,2023-09-06T19:35:00Z,Daylight,Fine no high winds,Rural,Dry,None,40,Female,9
Fatal,Female,94,Over 75,On footway or verge,Unknown or other,2023-05-02T12:53:00Z,Daylight,Fine no high winds,Urban,Dry,None,39,Male,19
Serious,Male,13,11 - 15,"In carriageway, not crossing",Unknown or other,2023-06-29T15:29:00Z,Daylight,Fine no high winds,Urban,Dry,None,38,Female,9
Fatal,Male,54,46 - 55,"In carriageway, not crossing",Unknown or other,2023-09-08T21:27:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,9
Serious,Male,43,36 - 45,"In carriageway, crossing elsewhere",From drivers nearside,2023-04-29T13:54:00Z,Daylight,Fine no high winds,Urban,Dry,None,45,Male,9
Serious,Male,48,46 - 55,"In carriageway, not crossing",Walking facing traffic,2023-07-25T14:23:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,9
Serious,Male,48,46 - 55,"In carriageway, not crossing",Walking facing traffic,2023-07-25T14:23:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,19
Serious,Male,65,56 - 65,"In carriageway, crossing elsewhere",From drivers offside,2023-11-29T17:30:00Z,Darkness - lights lit,Fine no high winds,Urban,Wet or damp,None,-1,Not known,9
Fatal,Female,73,66 - 75,Within 50m. of crossing,From drivers nearside,2023-12-13T17:44:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,65,Male,19
Fatal,Female,91,Over 75,Centre of carriageway without refuge,From drivers nearside,2023-11-27T16:50:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,56,Male,9
Fatal,Male,65,56 - 65,"In carriageway, crossing elsewhere",From drivers nearside,2023-12-16T23:40:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,NA,65,Male,8
Slight,Female,26,26 - 35,Centre of carriageway without refuge,From drivers offside,2023-09-28T15:46:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,9
Slight,Female,29,26 - 35,"In carriageway, not crossing",Walking back to traffic,2023-10-30T15:40:00Z,Daylight,Fine no high winds,Rural,Dry,None,-1,Male,9
Slight,Male,22,21 - 25,"In carriageway, not crossing",Walking back to traffic,2023-10-30T15:40:00Z,Daylight,Fine no high winds,Rural,Dry,None,-1,Male,9
Slight,Male,28,26 - 35,"In carriageway, not crossing",Walking back to traffic,2023-10-30T15:40:00Z,Daylight,Fine no high winds,Rural,Dry,None,-1,Male,9
Slight,Female,31,26 - 35,"In carriageway, not crossing",Walking back to traffic,2023-10-30T15:40:00Z,Daylight,Fine no high winds,Rural,Dry,None,-1,Male,9
Fatal,Male,43,36 - 45,"In carriageway, not crossing",Unknown or other,2023-01-11T23:16:00Z,Darkness - lights lit,Raining high winds,Urban,Wet or damp,None,52,Male,21
Serious,Male,15,11 - 15,Within 50m. of crossing,From drivers offside,2023-03-16T07:27:00Z,Daylight,Other,Urban,Wet or damp,None,22,Male,9
Serious,Female,37,36 - 45,Within 50m. of crossing,From drivers nearside,2023-09-21T21:12:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,39,Male,9
Serious,Male,42,36 - 45,Within 50m. of crossing,From drivers nearside,2023-09-21T21:12:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,39,Male,9
Slight,Male,7,6 - 10,"In carriageway, crossing elsewhere",From drivers offside,2023-01-23T13:00:00Z,Daylight,Fine no high winds,Urban,Dry,None,59,Female,9
Fatal,Male,60,56 - 65,"In carriageway, not crossing",Unknown or other,2023-04-23T00:50:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,51,Male,9
Fatal,Male,75,66 - 75,Centre of carriageway without refuge,From drivers nearside,2023-04-05T20:43:00Z,Darkness - lights lit,Raining no high winds,Rural,Wet or damp,None,51,Male,9
Fatal,Male,27,26 - 35,Unknown or other,Unknown or other,2023-07-09T02:41:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,26,Female,9
Fatal,Male,27,26 - 35,Unknown or other,Unknown or other,2023-07-09T02:41:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,48,Male,9
Fatal,Male,69,66 - 75,"In carriageway, not crossing",Unknown or other,2023-07-01T01:34:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,-1,Not known,9
Slight,Female,12,11 - 15,Within 50m. of crossing,Unknown or other,2023-03-06T08:40:00Z,Daylight,Other,Urban,Wet or damp,None,40,Male,9
Fatal,Male,69,66 - 75,"In carriageway, not crossing","In carriageway, stationary",2023-10-03T05:40:00Z,Darkness - no lighting,Fine no high winds,Rural,Dry,None,34,Male,19
Fatal,Male,69,66 - 75,"In carriageway, not crossing","In carriageway, stationary",2023-10-03T05:40:00Z,Darkness - no lighting,Fine no high winds,Rural,Dry,None,-1,Not known,21
Serious,Female,63,56 - 65,"In carriageway, crossing elsewhere",From drivers offside,2023-08-24T16:08:00Z,Daylight,Fine no high winds,Urban,Dry,None,22,Male,3
Serious,Female,89,Over 75,On footway or verge,Unknown or other,2023-06-30T14:30:00Z,Daylight,Fine no high winds,Rural,Dry,None,59,Not known,9
Serious,Female,77,Over 75,"In carriageway, crossing elsewhere",From drivers nearside,2023-04-20T12:23:00Z,Daylight,Fine no high winds,Urban,Dry,None,19,Male,9
Serious,Male,20,16 - 20,On pedestrian crossing facility,From drivers offside,2023-09-28T01:50:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,41,Male,8
Fatal,Male,66,66 - 75,"In carriageway, crossing elsewhere",From drivers offside,2023-08-23T15:35:00Z,Daylight,Fine no high winds,Urban,Dry,None,24,Male,21
Fatal,Male,28,26 - 35,"In carriageway, crossing elsewhere",From drivers offside,2023-04-02T02:40:00Z,Darkness - lights lit,Fine high winds,Urban,Dry,None,44,Male,11
Slight,Male,11,11 - 15,"In carriageway, not crossing","In carriageway, stationary, masked",2023-05-17T08:30:00Z,Daylight,Fine no high winds,Urban,Dry,None,45,Female,9
Fatal,Male,34,26 - 35,On pedestrian crossing facility,From drivers offside,2023-01-03T19:12:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,63,Female,9
Serious,Female,16,16 - 20,On pedestrian crossing facility,From drivers nearside,2023-11-22T18:20:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,55,Male,9
Serious,Female,27,26 - 35,Centre of carriageway without refuge,From drivers offside,2023-05-07T12:15:00Z,Daylight,Fine no high winds,Urban,Dry,None,77,Male,9
Fatal,Male,43,36 - 45,"In carriageway, crossing elsewhere",From drivers offside,2023-02-11T19:09:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,27,Male,4
Fatal,Male,34,26 - 35,"In carriageway, crossing elsewhere",From drivers nearside,2023-09-19T00:16:00Z,Darkness - no lighting,Raining no high winds,Rural,Wet or damp,None,24,Male,9
Fatal,Male,34,26 - 35,"In carriageway, crossing elsewhere",From drivers nearside,2023-09-19T00:16:00Z,Darkness - no lighting,Raining no high winds,Rural,Wet or damp,None,26,Male,9
Slight,Male,48,46 - 55,Within 50m. of crossing,From nearside masked by vehicle,2023-05-28T15:00:00Z,Daylight,Fine no high winds,Urban,Dry,None,26,Male,9
Fatal,Male,38,36 - 45,On footway or verge,Walking back to traffic,2023-12-16T08:29:00Z,Darkness - no lighting,Fine no high winds,Rural,Wet or damp,NA,41,Female,9
Serious,Female,22,21 - 25,"In carriageway, crossing elsewhere",From nearside masked by vehicle,2023-09-10T01:15:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,25,Male,9
Serious,Female,51,46 - 55,On footway or verge,Unknown or other,2023-08-25T15:26:00Z,Daylight,Fine no high winds,Urban,Dry,None,35,Male,9
Serious,Female,51,46 - 55,On footway or verge,Unknown or other,2023-08-25T15:26:00Z,Daylight,Fine no high winds,Urban,Dry,None,56,Male,19
Serious,Female,51,46 - 55,On footway or verge,Unknown or other,2023-08-25T15:26:00Z,Daylight,Fine no high winds,Urban,Dry,None,20,Male,9
Fatal,Male,37,36 - 45,"In carriageway, not crossing",Walking back to traffic,2023-01-21T19:39:00Z,Darkness - no lighting,Fine no high winds,Rural,Wet or damp,None,49,Male,9
Slight,Female,17,16 - 20,On pedestrian crossing facility,Unknown or other,2023-01-13T13:06:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,2
Slight,Female,5,0 - 5,On pedestrian crossing facility,From drivers nearside,2023-05-26T17:00:00Z,Daylight,Fine no high winds,Urban,Dry,None,41,Male,9
Slight,Male,26,26 - 35,Centre of carriageway without refuge,From drivers offside,2023-04-11T17:30:00Z,Daylight,Fine no high winds,Urban,Dry,None,50,Male,9
Fatal,Female,83,Over 75,On footway or verge,Unknown or other,2023-03-16T17:09:00Z,Daylight,Raining no high winds,Urban,Wet or damp,None,29,Male,19
Serious,Male,58,56 - 65,"In carriageway, crossing elsewhere",From drivers nearside,2023-09-30T04:09:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,25,Male,9
Slight,Male,19,16 - 20,Within 50m. of crossing,From drivers nearside,2023-12-04T21:18:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,34,Female,9
Slight,Male,19,16 - 20,Within 50m. of crossing,From drivers nearside,2023-12-04T21:18:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,34,Female,9
Slight,Female,16,16 - 20,On pedestrian crossing facility,From drivers nearside,2023-06-09T14:50:00Z,Daylight,Fine no high winds,Urban,Dry,None,76,Female,9
Slight,Female,47,46 - 55,"In carriageway, not crossing",Walking facing traffic,2023-09-08T20:45:00Z,Daylight,Fine no high winds,Urban,Dry,None,63,Male,19
Slight,Male,70,66 - 75,"In carriageway, not crossing","In carriageway, stationary",2023-08-19T10:11:00Z,Daylight,Fine no high winds,Urban,Dry,None,77,Male,9
Slight,Female,40,36 - 45,"In carriageway, crossing elsewhere",From drivers offside,2023-07-17T13:50:00Z,Daylight,Fine no high winds,Urban,Wet or damp,None,41,Male,9
Serious,Male,28,26 - 35,On pedestrian crossing facility,From drivers nearside,2023-09-02T23:51:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,-1,Not known,9
Serious,Female,78,Over 75,"In carriageway, crossing elsewhere",From offside masked by vehicle,2023-02-18T11:45:00Z,Daylight,Fine no high winds,Urban,Dry,None,72,Male,19
Serious,Male,73,66 - 75,"In carriageway, not crossing",Unknown or other,2023-09-21T07:30:00Z,Daylight,Fine no high winds,Rural,Dry,None,49,Male,19
Serious,Female,17,16 - 20,On pedestrian crossing facility,From drivers nearside,2023-11-28T16:55:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,42,Male,9
Slight,Male,18,16 - 20,On pedestrian crossing facility,From drivers nearside,2023-11-28T16:55:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,42,Male,9
Serious,Female,80,Over 75,"In carriageway, crossing elsewhere",From nearside masked by vehicle,2023-10-24T09:25:00Z,Daylight,Fine no high winds,Rural,Dry,None,51,Female,9
Slight,Female,42,36 - 45,Within 50m. of crossing,From drivers nearside,2023-09-29T10:20:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,9
Slight,Male,19,16 - 20,Unknown or other,Unknown or other,2023-11-30T09:06:00Z,Daylight,Snowing no high winds,Rural,Frost or ice,NA,43,Female,9
Slight,Male,19,16 - 20,Unknown or other,Unknown or other,2023-11-30T09:06:00Z,Daylight,Snowing no high winds,Rural,Frost or ice,NA,31,Female,9
Slight,Male,19,16 - 20,Unknown or other,Unknown or other,2023-11-30T09:06:00Z,Daylight,Snowing no high winds,Rural,Frost or ice,NA,-1,Not known,9
Slight,Male,19,16 - 20,Unknown or other,Unknown or other,2023-11-30T09:06:00Z,Daylight,Snowing no high winds,Rural,Frost or ice,NA,36,Male,9
Slight,Male,19,16 - 20,Unknown or other,Unknown or other,2023-11-30T09:06:00Z,Daylight,Snowing no high winds,Rural,Frost or ice,NA,-1,Not known,9
Slight,Male,19,16 - 20,Unknown or other,Unknown or other,2023-11-30T09:06:00Z,Daylight,Snowing no high winds,Rural,Frost or ice,NA,70,Male,9
Fatal,Female,81,Over 75,Unknown or other,Unknown or other,2023-11-30T09:06:00Z,Daylight,Snowing no high winds,Rural,Frost or ice,NA,43,Female,9
Fatal,Female,81,Over 75,Unknown or other,Unknown or other,2023-11-30T09:06:00Z,Daylight,Snowing no high winds,Rural,Frost or ice,NA,31,Female,9
Fatal,Female,81,Over 75,Unknown or other,Unknown or other,2023-11-30T09:06:00Z,Daylight,Snowing no high winds,Rural,Frost or ice,NA,-1,Not known,9
Fatal,Female,81,Over 75,Unknown or other,Unknown or other,2023-11-30T09:06:00Z,Daylight,Snowing no high winds,Rural,Frost or ice,NA,36,Male,9
Fatal,Female,81,Over 75,Unknown or other,Unknown or other,2023-11-30T09:06:00Z,Daylight,Snowing no high winds,Rural,Frost or ice,NA,-1,Not known,9
Fatal,Female,81,Over 75,Unknown or other,Unknown or other,2023-11-30T09:06:00Z,Daylight,Snowing no high winds,Rural,Frost or ice,NA,70,Male,9
Serious,Female,35,26 - 35,Centre of carriageway without refuge,Walking facing traffic,2023-11-02T01:49:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,34,Male,19
Serious,Female,45,36 - 45,Centre of carriageway without refuge,Walking facing traffic,2023-11-02T01:49:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,34,Male,19
Slight,Male,8,6 - 10,"In carriageway, crossing elsewhere",From drivers nearside,2023-07-08T11:08:00Z,Daylight,Fine no high winds,Rural,Wet or damp,None,35,Female,9
Slight,Female,79,Over 75,"In carriageway, crossing elsewhere",From drivers nearside,2023-02-09T16:19:00Z,Daylight,Fine no high winds,Urban,Dry,None,83,Female,9
Fatal,Male,66,66 - 75,On footway or verge,Unknown or other,2023-04-18T17:16:00Z,Daylight,Fine no high winds,Rural,Dry,None,25,Male,9
Fatal,Male,66,66 - 75,On footway or verge,Unknown or other,2023-04-18T17:16:00Z,Daylight,Fine no high winds,Rural,Dry,None,25,Male,9
Slight,Female,15,11 - 15,On pedestrian crossing facility,From drivers nearside,2023-09-21T16:25:00Z,Daylight,Fine no high winds,Urban,Dry,None,35,Male,9
Slight,Female,74,66 - 75,"In carriageway, crossing elsewhere",From drivers nearside,2023-04-01T14:45:00Z,Daylight,Fine no high winds,Urban,Wet or damp,None,40,Male,9
Slight,Female,22,21 - 25,On footway or verge,Walking facing traffic,2023-11-26T22:32:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,26,Male,9
Serious,Male,41,36 - 45,On footway or verge,Unknown or other,2023-07-30T17:30:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Male,1
Fatal,Male,71,66 - 75,Within 50m. of crossing,From drivers nearside,2023-11-25T15:20:00Z,Daylight,Fine no high winds,Urban,Dry,None,55,Male,21
Serious,Female,15,11 - 15,"In carriageway, not crossing","In carriageway, stationary, masked",2023-08-21T14:21:00Z,Daylight,Fine no high winds,Rural,Dry,Roadworks,21,Male,21
Slight,Female,82,Over 75,Unknown or other,Unknown or other,2023-11-23T11:10:00Z,Daylight,Fine no high winds,Urban,Dry,None,40,Female,9
Serious,Male,-1,NA,"In carriageway, crossing elsewhere",Unknown or other,2023-01-10T17:47:00Z,Darkness - lights lit,Raining no high winds,Urban,Wet or damp,None,40,Female,9
Slight,Female,63,56 - 65,"In carriageway, not crossing",Walking back to traffic,2023-03-15T13:20:00Z,Daylight,Fine no high winds,Urban,Dry,None,86,Male,9
Slight,Female,18,16 - 20,"In carriageway, crossing elsewhere",From drivers offside,2023-11-15T14:50:00Z,Daylight,Fine no high winds,Urban,Dry,None,23,Male,9
Serious,Female,37,36 - 45,On pedestrian crossing facility,From drivers nearside,2023-07-20T15:50:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,3
Serious,Male,17,16 - 20,Within 50m. of crossing,From drivers offside,2023-01-28T17:00:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,54,Male,9
Serious,Male,17,16 - 20,"In carriageway, not crossing",Walking facing traffic,2023-05-12T16:18:00Z,Daylight,Other,Urban,Dry,None,56,Male,11
Fatal,Male,57,56 - 65,"In carriageway, crossing elsewhere",From drivers nearside,2023-04-26T21:08:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,20,Female,9
Slight,Male,6,6 - 10,On pedestrian crossing facility,From nearside masked by vehicle,2023-12-14T09:00:00Z,Daylight,Fine no high winds,Urban,Dry,Roadworks,41,Male,9
Slight,Female,6,6 - 10,On pedestrian crossing facility,From nearside masked by vehicle,2023-12-14T09:00:00Z,Daylight,Fine no high winds,Urban,Dry,Roadworks,41,Male,9
Serious,Female,45,36 - 45,On pedestrian crossing facility,From nearside masked by vehicle,2023-12-14T09:00:00Z,Daylight,Fine no high winds,Urban,Dry,Roadworks,41,Male,9
Fatal,Male,74,66 - 75,On pedestrian crossing facility,From drivers offside,2023-10-16T16:20:00Z,Daylight,Fine no high winds,Urban,Dry,None,25,Female,11
Slight,Male,70,66 - 75,Centre of carriageway without refuge,From drivers nearside,2023-04-21T16:15:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,8
Fatal,Female,78,Over 75,"In carriageway, crossing elsewhere",From drivers nearside,2023-11-25T09:19:00Z,Daylight,Fine no high winds,Urban,Dry,NA,22,Male,9
Fatal,Male,88,Over 75,Centre of carriageway without refuge,From drivers nearside,2023-09-21T09:17:00Z,Daylight,Fine no high winds,Urban,Dry,None,59,Female,9
Serious,Female,89,Over 75,On pedestrian crossing facility,From drivers nearside,2023-07-20T15:48:00Z,Daylight,Fine no high winds,Urban,Dry,None,54,Male,19
Slight,Female,22,21 - 25,On pedestrian crossing facility,From drivers offside,2023-08-19T00:09:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,49,Male,8
Slight,Male,24,21 - 25,On pedestrian crossing facility,From drivers offside,2023-08-19T00:09:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,49,Male,8
Serious,Female,61,56 - 65,"In carriageway, crossing elsewhere",From drivers offside,2023-01-26T20:37:00Z,Darkness - lights lit,Fine no high winds,Urban,Wet or damp,None,-1,Not known,9
Fatal,Male,64,56 - 65,"In carriageway, crossing elsewhere",From drivers offside,2023-01-26T20:37:00Z,Darkness - lights lit,Fine no high winds,Urban,Wet or damp,None,-1,Not known,9
Serious,Female,16,16 - 20,Unknown or other,Unknown or other,2023-01-10T15:33:00Z,Daylight,Raining no high winds,Urban,Wet or damp,None,61,Female,9
Serious,Female,89,Over 75,On footway or verge,Unknown or other,2023-07-25T13:30:00Z,Daylight,Fine no high winds,Urban,Dry,None,38,Male,9
Fatal,Male,34,26 - 35,"In carriageway, not crossing",Unknown or other,2023-03-13T23:20:00Z,Darkness - no lighting,Raining high winds,Rural,Wet or damp,None,30,Male,9
Slight,Female,15,11 - 15,"In carriageway, crossing elsewhere",Unknown or other,2023-06-09T16:40:00Z,Daylight,Fine no high winds,Urban,Dry,None,39,Male,9
Serious,Female,14,11 - 15,"In carriageway, crossing elsewhere",Unknown or other,2023-06-09T16:40:00Z,Daylight,Fine no high winds,Urban,Dry,None,39,Male,9
Slight,Female,14,11 - 15,"In carriageway, crossing elsewhere",Unknown or other,2023-06-09T16:40:00Z,Daylight,Fine no high winds,Urban,Dry,None,39,Male,9
Serious,Male,55,46 - 55,Centre of carriageway without refuge,"In carriageway, stationary",2023-07-28T22:45:00Z,Darkness - lights lit,Fine no high winds,Rural,Dry,None,20,Male,9
Serious,Male,55,46 - 55,Centre of carriageway without refuge,"In carriageway, stationary",2023-07-28T22:45:00Z,Darkness - lights lit,Fine no high winds,Rural,Dry,None,27,Male,9
Slight,Female,65,56 - 65,On footway or verge,Unknown or other,2023-12-14T16:53:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,-1,Female,9
Serious,Male,52,46 - 55,On footway or verge,"In carriageway, stationary",2023-06-23T23:40:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,57,Male,11
Fatal,Male,45,36 - 45,"In carriageway, crossing elsewhere",From drivers nearside,2023-01-15T19:51:00Z,Darkness - lighting unknown,Fine no high winds,Urban,Dry,None,37,Male,9
Fatal,Male,90,Over 75,"In carriageway, crossing elsewhere",From drivers nearside,2023-11-06T17:38:00Z,Darkness - no lighting,Fine no high winds,Rural,Dry,None,63,Female,9
Slight,Male,11,11 - 15,"In carriageway, crossing elsewhere",From drivers nearside,2023-01-09T15:30:00Z,Daylight,Fine no high winds,Urban,Dry,None,32,Female,9
Fatal,Female,34,26 - 35,"In carriageway, crossing elsewhere",From drivers nearside,2023-04-16T16:19:00Z,Daylight,Fine no high winds,Rural,Dry,None,59,Male,5
Serious,Female,11,11 - 15,On pedestrian crossing facility,From drivers nearside,2023-12-13T07:59:00Z,Daylight,Fine no high winds,Urban,Dry,None,49,Male,11
Slight,Female,11,11 - 15,On pedestrian crossing facility,From drivers nearside,2023-03-05T18:25:00Z,Darkness - lights lit,Fine no high winds,Urban,Dry,None,-1,Male,9
Fatal,Male,65,56 - 65,On pedestrian crossing facility,From drivers offside,2023-08-18T23:26:00Z,Darkness - lights lit,Fine no high winds,Urban,Wet or damp,None,-1,Not known,9
Fatal,Male,65,56 - 65,On pedestrian crossing facility,From drivers offside,2023-08-18T23:26:00Z,Darkness - lights lit,Fine no high winds,Urban,Wet or damp,None,-1,Not known,9
Fatal,Male,65,56 - 65,On pedestrian crossing facility,From drivers offside,2023-08-18T23:26:00Z,Darkness - lights lit,Fine no high winds,Urban,Wet or damp,None,-1,Not known,9
Fatal,Male,65,56 - 65,On pedestrian crossing facility,From drivers offside,2023-08-18T23:26:00Z,Darkness - lights lit,Fine no high winds,Urban,Wet or damp,None,-1,Not known,9
Fatal,Male,65,56 - 65,On pedestrian crossing facility,From drivers offside,2023-08-18T23:26:00Z,Darkness - lights lit,Fine no high winds,Urban,Wet or damp,None,37,Male,9
Fatal,Male,18,16 - 20,"In carriageway, not crossing",Unknown or other,2023-03-27T01:20:00Z,Darkness - no lighting,Fine no high winds,Rural,Dry,None,40,Male,9
Slight,Female,22,21 - 25,"In carriageway, not crossing","In carriageway, stationary",2023-09-15T10:13:00Z,Daylight,Fine no high winds,Urban,Dry,None,-1,Not known,9
Slight,Female,10,6 - 10,"In carriageway, crossing elsewhere",From drivers offside,2023-12-06T15:15:00Z,Daylight,Fine no high winds,Urban,Dry,None,26,Female,9
Serious,Male,16,16 - 20,Centre of carriageway without refuge,From drivers nearside,2023-06-12T13:30:00Z,Daylight,Raining no high winds,Urban,NA,None,-1,Not known,9
Slight,Female,37,36 - 45,"In carriageway, crossing elsewhere",From drivers offside,2023-02-10T17:45:00Z,Daylight,Unknown,Urban,Dry,None,-1,Not known,9
Slight,Female,30,26 - 35,On footway or verge,"In carriageway, stationary",2023-10-29T11:00:00Z,Daylight,Fine no high winds,Rural,Dry,None,-1,Not known,98
Fatal,Male,7,6 - 10,"In carriageway, not crossing",Unknown or other,2023-02-19T11:09:00Z,Daylight,Fine no high winds,Urban,Dry,None,44,Male,9
Fatal,Male,7,6 - 10,"In carriageway, not crossing",Unknown or other,2023-02-19T11:09:00Z,Daylight,Fine no high winds,Urban,Dry,None,45,Male,19
Fatal,Male,7,6 - 10,"In carriageway, not crossing",Unknown or other,2023-02-19T11:09:00Z,Daylight,Fine no high winds,Urban,Dry,None,55,Male,9
Slight,Male,70,66 - 75,"In carriageway, crossing elsewhere",Unknown or other,2023-12-01T18:00:00Z,Darkness - lights lit,Fine no high winds,Urban,Frost or ice,None,-1,Female,9
Fatal,Male,30,26 - 35,"In carriageway, not crossing","In carriageway, stationary",2023-09-11T19:38:00Z,Daylight,Fine no high winds,Urban,Dry,None,60,Male,9
